Addressee final,Wizard addressee,Focus of attention,Method,"Expression (facial, gestural, verbal)",Speech form of address,Speech politeness,Speech type of sentence,Speech specific,Expression specific,Method specific,Time_adapted,Addressee final (reduced),Focus of attention (reduced),Vp_num,Wizard task,Condition,Order,Annotator,Addressee final Code,Focus of attention Code,Addressee final (reduced) Code,Focus of attention (reduced) Code,Speech specific (reduced),Method specific (reduced),Expression (reduced),Speech type of sentence (reduced),Speech phrasing,Addressee equals focus
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),Licht!,---,VP schaut nach oben zum LIcht und sagt: __Licht!__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),3,1,nonverbal,1,ES,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),Licht aus! Flur!,---,VP schaut nach oben zum Licht und sagt:__Licht aus! Flur!__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),3,2,nonverbal,1,ES,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Switch (living room),Apartment,Switch (living room),touch,neutral,unobserved,unobserved,unobserved,---,---,"VP drückt die Fernbedingungen, die auf der Fensterbank lagen",0,Parts of the apartment,Parts of the apartment,3,3,nonverbal,1,ES,SwL,SwL,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Screen (kitchen on worktop),Apartment,Screen (kitchen on worktop),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt den Bildschirm auf der Arbeitsfläche,0,Parts of the apartment,Parts of the apartment,3,4,nonverbal,1,ES,ScK,ScK,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Unspecific,Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Question (words),Anrufe?!,---,VP schaut nach oben im Flur und sagt: __Anrufe?!__,0,Unspecific,Light in the hallway \(L_H\),3,5,nonverbal,1,ES,U,LH,U,LH,None,None,neutral,Question,Words,FALSE
Unspecific,Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Question (words),Uhrzeit?!,---,VP spricht in Richtung Flur: __Uhrzeit?!__ und schaut auf den Bildschirm,0,Unspecific,Parts of the apartment,3,6,nonverbal,1,ES,U,ScK,U,Ap,None,None,neutral,Question,Words,FALSE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,"VP berührt mehrmals die Stehlampe, erst an der Seite und dann oben",0,Floor lamp \(L_F\),Floor lamp \(L_F\),3,7,nonverbal,1,ES,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Robot,Apartment,Robot,speech,neutral,with Name,polite,Command (sentence),"__Ähm, bitte das Licht im Flur anmachen.__",---,"VP sagt: __Ähm, bitte das Licht im Flur anmachen.__",898,Robot,Robot,4,1,nonverbal,1,PH,R,R,R,R,Licht,None,neutral,Command,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,polite,Command (sentence),__Bitte das Licht im Flur ausmachen.__,---,VP sagt: __Bitte das Licht im Flur ausmachen.__,0,Robot,Robot,4,2,nonverbal,1,PH,R,R,R,R,Licht,None,neutral,Command,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,polite,Command (sentence),__Bitte Musik einschalten.__,---,VP sagt: __Bitte Musik einschalten.__,0,Robot,Robot,4,3,nonverbal,1,PH,R,R,R,R,None,None,neutral,Command,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Habe ich Pakete bekommen?__,---,VP stellt sich vor den Roboter und fragt: __Habe ich Pakete bekommen?__,0,Robot,Robot,4,4,nonverbal,1,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Hat jemand für mich angerufen?__,---,VP fragt: __Hat jemand für mich angerufen?__,0,Robot,Robot,4,5,nonverbal,1,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Wie viel Uhr ist es?__,---,VP fragt: __Wie viel Uhr ist es?__,0,Robot,Robot,4,6,nonverbal,1,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Floor lamp \(L_F\),Robot,speech,baffled,with Name,polite,Command (sentence),__Bitte heller machen.__,"VP ist hier ratlos, weil sie nicht erkennt, dass sie die Aufgabe gelöst hat; hier ist auch einiges schief gelaufen",VP sagt: __Bitte heller amchen.__,0,Robot,Robot,4,7,nonverbal,1,PH,R,R,R,R,None,None,negative,Command,Sentence,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),gesture,neutral,unobserved,unobserved,unobserved,---,---,VP geht in den Flur und winkt mit der Hand nach oben zum Licht,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),6,1,nonverbal,1,ES,LH,LH,LH,LH,None,Winkt,neutral,unobserved,unobserved,TRUE
Unspecific,Apartment,Unspecific,gesture,neutral,unobserved,unobserved,unobserved,---,---,VP steht in der Küche und winkt mehrmals nach oben zum Licht,0,Unspecific,Unspecific,6,2,nonverbal,1,ES,U,U,U,U,None,Winkt,neutral,unobserved,unobserved,TRUE
Screen (living room window),Apartment,Screen (living room window),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt den Bildschirm auf der Fensterbank,0,Parts of the apartment,Parts of the apartment,6,3,nonverbal,1,ES,ScLwi,ScLwi,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),Ist ein Paket angekommen?,---,VP fragt in den Raum: __Ist ein Paket angekommen?__,0,Unspecific,Unspecific,6,4,nonverbal,1,ES,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),Gab es Anrufe in meiner Abwesenheit?,---,VP steht in der Küche vor der Arbeitsfläche und fragt in den Raum: __Gab es Anrufe in meiner Abwesenheit?__,0,Unspecific,Unspecific,6,5,nonverbal,1,ES,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),Wie spät ist es?,---,VP fragt in den Raum: __Wie spät ist es?__ und schaut erst dann zum Bildschirm,639,Unspecific,Unspecific,6,6,nonverbal,1,ES,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,neutral,unobserved,unobserved,unobserved,---,---,"VP bewegt mit der Hand an der Lampe entlang, berührtdie aber nicht",0,Floor lamp \(L_F\),Floor lamp \(L_F\),6,7,nonverbal,1,ES,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),gesture,neutral,unobserved,unobserved,unobserved,---,---,VP klatscht,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),7,1,nonverbal,1,PH,LH,LH,LH,LH,None,Klatscht,neutral,unobserved,unobserved,TRUE
Sliding door (between hallway and kitchen),Apartment,Sliding door (between hallway and kitchen),touch,neutral,unobserved,unobserved,unobserved,---,---,VP schließt die Schiebetür der Küche,762,Parts of the apartment,Parts of the apartment,7,2,nonverbal,1,PH,D,D,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Unspecific,Apartment,Unspecific,speech,baffled,unobserved,unobserved,unobserved,---,VP ist unsicher,VP fragt: __Musik?__. VP ist sichtlich unsicher (macht ratlose Geste und denkt erst er hätte kinen Erfolg gehabt),0,Unspecific,Unspecific,7,3,nonverbal,1,PH,U,U,U,U,None,None,negative,unobserved,unobserved,TRUE
Unspecific,Apartment,Unspecific,speech,baffled,with Name,neutral,Question (sentence),__Habe ich Post?__,Wirkt wieder etwas unsicher einach in den Raum zu fragen,VP fragt in den Raum; __Habe ich Post?__,0,Unspecific,Unspecific,7,4,nonverbal,1,PH,U,U,U,U,None,None,negative,Question,Sentence,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__Hat irgendwer angerufen?__,---,VP fragt: __Hat irgendwer angerufen?__,0,Unspecific,Unspecific,7,5,nonverbal,1,PH,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Screen (kitchen on worktop),Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Question (sentence),"__Äh, wie spät ist es jetzt?__",---,"VP fragt: __Äh, wie spät ist es jetzt?__",302,Parts of the apartment,Parts of the apartment,7,6,nonverbal,1,PH,ScK,ScK,Ap,Ap,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt mehrfach die Stehlampe,0,Floor lamp \(L_F\),Floor lamp \(L_F\),7,7,nonverbal,1,PH,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),"__Kannst du mir erzählen, wie das Licht angeht?__",---,"VP fragt: __Kannst du mir erzählen, wie das Licht angeht?__",119,Robot,Robot,8,1,verbal,2,PH,R,R,R,R,Du,None,neutral,Question,Sentence,TRUE
Robot,Apartment,Robot,speech,neutral,with Name,polite,Command (sentence),__Kannst du bitte das Licht im Flur ausschalten?__,---,VP sagt: __Kannst du bitte das Licht im Flur ausschalten?__,0,Robot,Robot,8,2,verbal,2,PH,R,R,R,R,Du,None,neutral,Command,Sentence,TRUE
Robot,Robot,Unspecific,speech,neutral,with Name,neutral,Command (sentence),__Ein bisschen Musik wäre jetzt schön.__,---,VP sagt: __Ein bisschen Musik wäre jetzt schön.__,0,Robot,Unspecific,8,3,verbal,2,PH,R,U,R,U,None,None,neutral,Command,Sentence,FALSE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Sind Pakete da?__,---,VP fragt: __Sind Pakete da?__,0,Robot,Robot,8,4,verbal,2,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Unspecific,speech,neutral,with Name,neutral,Question (sentence),"__Kannst du mir sagen, ob Anrufe für mich da sind?__",---,"VP fragt: __Kannst du mir sagen, ob Anrufe für mich da sind?__",25,Robot,Unspecific,8,5,verbal,2,PH,R,U,R,U,Du,None,neutral,Question,Sentence,FALSE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Und wie spät ist es jetzt?__,---,VP fragt: __Und wie spät ist es jetzt?__,0,Robot,Robot,8,6,verbal,2,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,curious,unobserved,unobserved,unobserved,---,"VP wirkt gespannt, ob das klappt, was sie macht",VP macht 2x Wischbewegung oberhalb der Stehlampe,0,Floor lamp \(L_F\),Floor lamp \(L_F\),8,7,verbal,2,PH,LF,LF,LF,LF,None,Wisch,positive,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Licht!__,---,VP schaut nach oben zur Lampe und sagt:__Licht!__,212,Light in the hallway \(L_H\),Light in the hallway \(L_H\),9,1,verbal,1,ES,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Licht aus!__,---,VP schaut nach oben zur Lampe und sagt: __Licht aus!__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),9,2,verbal,1,ES,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Screen (kitchen on worktop),Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Command (words),__Musik!__,---,VP schaut den Bildschirm auf der Arbeitsplatte an und sagt: __Musik!__,0,Parts of the apartment,Parts of the apartment,9,3,verbal,1,ES,ScK,ScK,Ap,Ap,None,None,neutral,Command,Words,TRUE
Screen (kitchen on worktop),Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Question (words),Ist ein Paket angekommen?,---,VP schaut den Bildschirm auf der Arbeitsfläche an und fragt: __ Ist ein Paket angekommen?__,0,Parts of the apartment,Parts of the apartment,9,4,verbal,1,ES,ScK,ScK,Ap,Ap,None,None,neutral,Question,Words,TRUE
Screen (kitchen on worktop),Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Question (words),__Hat jemand angerufen?__,---,VP schaut den Bildschirm auf der Arbeitsfläche an und fragt: __Hat jemand angerufen?__,0,Parts of the apartment,Parts of the apartment,9,5,verbal,1,ES,ScK,ScK,Ap,Ap,None,None,neutral,Question,Words,TRUE
Screen (kitchen on worktop),Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Question (sentence),__Wie spät ist es?__,---,VP schaut den Bildschirm auf der Arbeitsfläche an und fragt:__Wie spät ist es?__,640,Parts of the apartment,Parts of the apartment,9,6,verbal,1,ES,ScK,ScK,Ap,Ap,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,neutral,unobserved,unobserved,unobserved,---,---,"VP bewegt die Hand mehrmals an der Lampe entlang, berührt sie aber nicht",0,Floor lamp \(L_F\),Floor lamp \(L_F\),9,7,verbal,1,ES,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),gesture,neutral,with Name,neutral,Statement (words),__Licht im Flur!__,---,VP schaut nach oben und winkt Richtung Lampe und sagt leise: __Licht im Flur!__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),11,1,verbal,2,ES,LH,LH,LH,LH,Licht,Winkt,neutral,Statement,Words,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),gesture,neutral,unobserved,unobserved,unobserved,---,---,VP winkt Richtung Licht im Flur nach oben,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),11,2,verbal,2,ES,LH,LH,LH,LH,None,Winkt,neutral,unobserved,unobserved,TRUE
Unspecific,Robot,Unspecific,speech,disappointed,with Name,neutral,Command (words),__Musik?!...Hallo?!...Ach Mann...__,"Als die VP __Ach Mann...__ sagt, kann man an der Tonlage die Enttäuschung erkennen",VP sagt laut in den Raum: __Musik?!...Hallo?!...Ach Mann...__,0,Unspecific,Unspecific,11,3,verbal,2,ES,U,U,U,U,None,None,negative,Command,Words,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),"__Okay, jetzt... Habe ich in der letzten Zeit ein Paket bekommen?__",---,"VP fragt den Roboter: __Okay, jetzt... Habe ich in der letzten Zeit ein Paket bekommen?__",0,Robot,Robot,11,4,verbal,2,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Hat mich schon jemand angerufen?__,---,VP fragt den Roboter: __Hat mich schon jemand angerufen?__,0,Robot,Robot,11,5,verbal,2,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Und wieviel Uhr haben wir jetzt?__,---,VP fragt den Roboter: __Und wieviel Uhr haben wir jetzt?__,0,Robot,Robot,11,6,verbal,2,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,"VP berührt die Lampe mehrmals oben, versucht die Helligkeit zu steuern",0,Floor lamp \(L_F\),Floor lamp \(L_F\),11,7,verbal,2,ES,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),Hier Licht an!,---,VP schaut nach oben zum Licht und sagt: __Hier Licht an!__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),12,1,nonverbal,2,ES,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),Licht Flur aus!,---,VP schaut zum Licht und sagt: __Licht Flutr aus!__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),12,2,nonverbal,2,ES,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),Musik an!,---,VP spricht in den Raum: __Musik an!__,0,Unspecific,Unspecific,12,3,nonverbal,2,ES,U,U,U,U,None,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Command (words),Paket!,---,VP schaut auf den Bildschirm (Arbeitsfläche) und sagt: __Paket!__,0,Unspecific,Parts of the apartment,12,4,nonverbal,2,ES,U,ScK,U,Ap,None,None,neutral,Command,Words,FALSE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),Verpasste Anruffe!,---,VP spricht in den Raum: __Verpasste Anrufe!__,0,Unspecific,Unspecific,12,5,nonverbal,2,ES,U,U,U,U,None,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Command (words),Uhrzeit!,---,VP schaut auf den Bildschirm und sagt: __Uhrzeit!__,0,Unspecific,Parts of the apartment,12,6,nonverbal,2,ES,U,ScK,U,Ap,None,None,neutral,Command,Words,FALSE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,neutral,unobserved,unobserved,unobserved,---,---,VP bewegt mit der Hanh vor der Lampe,0,Floor lamp \(L_F\),Floor lamp \(L_F\),12,7,nonverbal,2,ES,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Screen (kitchen on worktop),Apartment,Screen (kitchen on worktop),touch,neutral,unobserved,unobserved,unobserved,---,---,"VP spricht leise mit sich selbst (nicht erkennbar) und berührt den Bildschirm, dreht sich dann weg und geht",0,Parts of the apartment,Parts of the apartment,13,3,verbal,2,ES,ScK,ScK,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,"VP läst die Aufgabe konservativ, sie macht die Lampe am Schalter an und aus",0,Floor lamp \(L_F\),Floor lamp \(L_F\),13,7,verbal,2,ES,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Unspecific,Apartment,Switches (living room by the kitchen),speech,curious,with Name,neutral,Question (sentence),__Wo ist Musik?__,---,"VP schaut sich suchend um, guckt den Schalterblock an und fragt in den Raum: __Wo ist Musik?__",0,Unspecific,Parts of the apartment,15,2,nonverbal,2,ES,U,SwLk,U,Ap,None,None,positive,Question,Sentence,FALSE
Unspecific,Apartment,Switches (living room by the kitchen),speech,curious,with Name,neutral,Question (sentence),__Wo ist Musik?__,---,"VP schaut sich suchend um, guckt den Schalterblock an und fragt in den Raum: __Wo ist Musik?__",0,Unspecific,Parts of the apartment,15,3,nonverbal,2,ES,U,SwLk,U,Ap,None,None,positive,Question,Sentence,FALSE
Screen (kitchen on worktop),Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Question (sentence),__Ist ein Paket für mich angekommen?__,---,VP schaut wieder auf den Bildschirm auf der Arbeitsfläche und fragt: __Ist ein Paket für mich angekommen?__,0,Parts of the apartment,Parts of the apartment,15,4,nonverbal,2,ES,ScK,ScK,Ap,Ap,None,None,neutral,Question,Sentence,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,unobserved,unobserved,unobserved,---,---,VP fragt in den Raum: __Hatte ich einen Anruf?__,0,Unspecific,Unspecific,15,5,nonverbal,2,ES,U,U,U,U,None,None,neutral,unobserved,unobserved,TRUE
Screen (kitchen on worktop),Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Question (sentence),__Wie spät ist es jetzt?__,---,VP schaut auf den Bildschirm auf der Arbeitsfäche und fragt: __Wie spät ist es jetzt?__,0,Parts of the apartment,Parts of the apartment,15,6,nonverbal,2,ES,ScK,ScK,Ap,Ap,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,"VP berührt mehrmals die Lampe, versucht die Helligkeit zu steuern",0,Floor lamp \(L_F\),Floor lamp \(L_F\),15,7,nonverbal,2,ES,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),gesture,neutral,unobserved,unobserved,unobserved,---,---,VP winkt dem Licht im Flur zu,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),17,1,verbal,1,PH,LH,LH,LH,LH,None,Winkt,neutral,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Licht im Flur aus.__,---,VP sagt: __Licht im Flur aus.__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),17,2,verbal,1,PH,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (words),__Paket?__,---,VP fragt: __Paket?__,0,Unspecific,Unspecific,17,4,verbal,1,PH,U,U,U,U,None,None,neutral,Question,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__Ähm. gab es Anrufe?__,---,"VP fragt: __ähm, gab es Anrufe?__",0,Unspecific,Unspecific,17,5,verbal,1,PH,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__Wie spät ist es?__,---,VP fragt: __Wie spät ist es?__,0,Unspecific,Unspecific,17,6,verbal,1,PH,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt mehrfach die Stehlampe oben,0,Floor lamp \(L_F\),Floor lamp \(L_F\),17,7,verbal,1,PH,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Kannst du mir helfen im Flur ein Licht anzumachen?__,---,VP fragt den Roboter: __Kannst du mir helfen im Flur ein Licht anzumachen?__,0,Robot,Robot,20,1,verbal,2,ES,R,R,R,R,Du,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,polite,Question (sentence),__Kannst du das wieder ab...schalten?__,---,VP fragt den Roboter:__Kannst du das wieder ab...schalten?__,0,Robot,Robot,20,2,verbal,2,ES,R,R,R,R,Du,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,polite,Question (sentence),__Und wo ist der Radio?__,---,VP fragt den Roboter: __Und wo ist der Radio?__,0,Robot,Robot,20,3,verbal,2,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,polite,Question (sentence),__War die Post auch schon hier?__,---,VP fragt den Roboter: __war die Post auch schon hier?__,452,Robot,Robot,20,4,verbal,2,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
