Addressee final,Wizard addressee,Focus of attention,Method,"Expression (facial, gestural, verbal)",Speech form of address,Speech politeness,Speech type of sentence,Speech specific,Expression specific,Method specific,Time_adapted,Addressee final (reduced),Focus of attention (reduced),Vp_num,Wizard task,Condition,Order,Annotator,Addressee final Code,Focus of attention Code,Addressee final (reduced) Code,Focus of attention (reduced) Code,Speech specific (reduced),Method specific (reduced),Expression (reduced),Speech type of sentence (reduced),Speech phrasing,Addressee equals focus
Robot,Robot,Robot,speech,neutral,with Name,polite,Question (sentence),__Hat heute schon jemand für mich angerufen?__,---,VP fragt den Roboter: __Hat heute schon jemand für mich angerufen?__,0,Robot,Robot,20,5,verbal,2,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,polite,Question (sentence),__Wie spät ist es jetzt?__,---,VP fragt den Roboter: __wie spät ist es jetzt?__,0,Robot,Robot,20,6,verbal,2,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Unspecific,Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,surprised,unobserved,unobserved,unobserved,---,"VP ist überrascht, als das Licht zufällig angegangen ist","VP schaut sich die Lampe an, macht wieder eine fragende Handbewegung in der Nähe der Lampe, das Licht geht an",0,Unspecific,Floor lamp \(L_F\),20,7,verbal,2,ES,U,LF,U,LF,None,None,positive,unobserved,unobserved,FALSE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),gesture,neutral,unobserved,unobserved,unobserved,---,---,VP macht winkende Bewebungen mir demArm nach oben zur Lampe gerichtet,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),21,1,verbal,1,ES,LH,LH,LH,LH,None,Winkt,neutral,unobserved,unobserved,TRUE
Sliding door (between hallway and kitchen),Apartment,Light in the hallway \(L_H\),touch,neutral,unobserved,unobserved,unobserved,---,---,VP schlißt die Schiebetür,0,Parts of the apartment,Light in the hallway \(L_H\),21,2,verbal,1,ES,D,LH,Ap,LH,None,None,neutral,unobserved,unobserved,FALSE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Statement (sentence),__Ich möchte Musik hören__,---,VP spricht den Roboter an: __Ich möchte Musik hören__,0,Robot,Robot,21,3,verbal,1,ES,R,R,R,R,None,None,neutral,Statement,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),ist ein Paket für mich angekommen?,---,VP fragt den Roboter: __ist ein Paket für mich angekommen?__,0,Robot,Robot,21,4,verbal,1,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Hat jemand für mich angerufen?__,---,VP fragt Roboter: __Hat jemand für mich angerufen?__,0,Robot,Robot,21,5,verbal,1,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Wieviel Uhr ist es gerade?__,---,VP fragt Roboter: __wieviel Uhr ist es gerade?__,0,Robot,Robot,21,6,verbal,1,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,neutral,unobserved,unobserved,unobserved,---,---,"VP macht Handbewegungen an der Lampe entlang, berührt die aber nicht",0,Floor lamp \(L_F\),Floor lamp \(L_F\),21,7,verbal,1,ES,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Question (words),__Licht?__,---,VP guckt Licht im Flur an und fragt: __Licht?__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),22,1,nonverbal,2,PH,LH,LH,LH,LH,Licht,None,neutral,Question,Words,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Licht aus.__,---,VP sagt __Licht aus.__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),22,2,nonverbal,2,PH,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),__Musik.__,---,VP sagt: __Musik__,0,Unspecific,Unspecific,22,3,nonverbal,2,PH,U,U,U,U,None,None,neutral,Command,Words,TRUE
Screen (kitchen on worktop),Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Question (words),__An. Post?__,---,VP sagt __An. Post?__,0,Parts of the apartment,Parts of the apartment,22,4,nonverbal,2,PH,ScK,ScK,Ap,Ap,None,None,neutral,Question,Words,TRUE
Unspecific,Robot,Unspecific,speech,neutral,with Name,neutral,Question (words),__Anruf?__,---,VP fragt __Anruf?__,1036,Unspecific,Unspecific,22,5,nonverbal,2,PH,U,U,U,U,None,None,neutral,Question,Words,TRUE
Screen (living room wall),Apartment,Screen (living room wall),speech,neutral,with Name,neutral,Question (words),__Uhrzeit?__,---,VP fragt __Uhrzeit?__,0,Parts of the apartment,Parts of the apartment,22,6,nonverbal,2,PH,ScLwa,ScLwa,Ap,Ap,None,None,neutral,Question,Words,TRUE
Screen (entrance),Apartment,Screen (entrance),gesture,neutral,unobserved,unobserved,unobserved,---,---,"VP macht zwei Bewegungen: einmal  eine Art Schlagbewegung in Richtung eines Schalters, dann eine Wischbewegung vor einem Bildschirm am Apartmenteingang",0,Parts of the apartment,Parts of the apartment,23,1,nonverbal,1,PH,ScE,ScE,Ap,Ap,None,Wisch,neutral,unobserved,unobserved,TRUE
Switches (entrance),Apartment,Switches (entrance),gesture,neutral,unobserved,unobserved,unobserved,---,---,"Nicht klar erkennbar, es sieht aus wie eine Wischbewegung vor dem Schalter",0,Parts of the apartment,Parts of the apartment,23,2,nonverbal,1,PH,SwE,SwE,Ap,Ap,None,Wisch,neutral,unobserved,unobserved,TRUE
Screen (living room table),Apartment,Screen (living room table),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt und macht Wischbewegungen über den Tisch,0,Parts of the apartment,Parts of the apartment,23,3,nonverbal,1,PH,ScLt,ScLt,Ap,Ap,None,Wisch,neutral,unobserved,unobserved,TRUE
Screen (entrance),Apartment,Screen (entrance),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt den Bildschirm am Apartmenteingang,0,Parts of the apartment,Parts of the apartment,23,4,nonverbal,1,PH,ScE,ScE,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Screen (living room table),Apartment,Screen (living room table),touch,curious,unobserved,unobserved,unobserved,---,VPlacht über ihren eigenen Lösungsversuch,VP berührt mehrfach den Bildschirm,0,Parts of the apartment,Parts of the apartment,23,5,nonverbal,1,PH,ScLt,ScLt,Ap,Ap,None,None,positive,unobserved,unobserved,TRUE
Screen (living room table),Apartment,Screen (living room table),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt wieder den Tisch,0,Parts of the apartment,Parts of the apartment,23,6,nonverbal,1,PH,ScLt,ScLt,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,neutral,unobserved,unobserved,unobserved,---,---,VP macht Wischbewegungen oberhalb und seitlich der Lampe,0,Floor lamp \(L_F\),Floor lamp \(L_F\),23,7,nonverbal,1,PH,LF,LF,LF,LF,None,Wisch,neutral,unobserved,unobserved,TRUE
Screen (entrance),Apartment,Screen (entrance),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt den Bildschirm am Apartmenteingang,0,Parts of the apartment,Parts of the apartment,24,1,verbal,2,PH,ScE,ScE,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Licht aus.__,---,VP sagt: __Licht aus.__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),24,2,verbal,2,PH,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),__Musik an.__,---,VP sagt in den Raum: __Musik an.__,0,Unspecific,Unspecific,24,3,verbal,2,PH,U,U,U,U,None,None,neutral,Command,Words,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Ist für mich ein paket angekommen?__,---,VP fragt: __Ist für mich ein Paket angekommen?__,1306,Robot,Robot,24,4,verbal,2,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,polite,Question (sentence),__Hat jemand für mich angerufen?__,---,VP fragt den Roboter: __Hat jemand für mich angerufen?__,0,Robot,Robot,24,5,verbal,2,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,joyful,with Name,polite,Question (sentence),__Wie spät ist es?__,VP lächelt,VP fragt: __Wie spät ist es?__ und scheint zu lächeln,0,Robot,Robot,24,6,verbal,2,PH,R,R,R,R,None,None,positive,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt die Lmpe mehrfach oben am Rand,0,Floor lamp \(L_F\),Floor lamp \(L_F\),24,7,verbal,2,PH,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Sliding door (between hallway and kitchen),Apartment,Sliding door (between hallway and kitchen),touch,neutral,unobserved,unobserved,unobserved,---,---,VP schließt die Apartmenttür,0,Parts of the apartment,Parts of the apartment,25,2,verbal,1,PH,D,D,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Loudspeaker (by the fridge),Apartment,Loudspeaker (by the fridge),speech,neutral,with Name,neutral,Command (words),__Musik.__,---,VP guckt die weiße Lautsprecherbox an und sagt: Musik,0,Parts of the apartment,Parts of the apartment,25,3,verbal,1,PH,Lo,Lo,Ap,Ap,None,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (words),__Post?__,---,VP sagt: __Post.__,0,Unspecific,Unspecific,25,4,verbal,1,PH,U,U,U,U,None,None,neutral,Question,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),__Anrufe.__,---,VP sagt: __Anrufe.__,0,Unspecific,Unspecific,25,5,verbal,1,PH,U,U,U,U,None,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),__Uhrzeit.__,---,VP sagt Uhrzeit und guckt hoch,0,Unspecific,Unspecific,25,6,verbal,1,PH,U,U,U,U,None,None,neutral,Command,Words,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt die Stehlampe,0,Floor lamp \(L_F\),Floor lamp \(L_F\),25,7,verbal,1,PH,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Beleuchtung an.__,---,VP sagt: __Beleuchtung an.__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),26,1,nonverbal,2,PH,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Flurbeleuchtung aus.__,---,VP sagt: __Flurbeleuchtung aus.__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),26,2,nonverbal,2,PH,LH,LH,LH,LH,None,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),__Musik an.__,---,VP sagt: __Musik an.__,0,Unspecific,Unspecific,26,3,nonverbal,2,PH,U,U,U,U,None,None,neutral,Command,Words,TRUE
Screen (living room wall),Apartment,Screen (living room wall),speech,neutral,with Name,neutral,Question (sentence),__Wurde etwas geliefert in meiner Abwesenheit? Wurde ein paket geliefert?__,---,"VP fragt, ob ein Paket gelifert wurde. Erkennt nicht, dass ihn das Tonsignal zum Paket führen soll",0,Parts of the apartment,Parts of the apartment,26,4,nonverbal,2,PH,ScLwa,ScLwa,Ap,Ap,None,None,neutral,Question,Sentence,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,polite,Question (sentence),"__Verpasste Anrufe, bitte? Gab es verpasste Anrufe? Hat jemand angerufen?__",---,"VP sagt: __Verpasste Anrufe, bitte.__ und sieht zuerst die Lösung nicht. Fragt danach sprachlich leicht abgewandelt nach Anrufen.",0,Unspecific,Unspecific,26,5,nonverbal,2,PH,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Screen (living room wall),Apartment,Screen (living room wall),speech,neutral,with Name,neutral,Question (sentence),__Wie spät ist es jetzt? Wie viele Sekunden?__,---,VP fragt: __Wie spät ist es jetzt? Wie viele sekunden?__,307,Parts of the apartment,Parts of the apartment,26,6,nonverbal,2,PH,ScLwa,ScLwa,Ap,Ap,None,None,neutral,Question,Sentence,TRUE
Screen (living room table),Floor lamp \(L_F\),Screen (living room table),touch,neutral,unobserved,unobserved,unobserved,---,---,VP macht esrt Gestik zur Stehlampe. Da er das Gefühl hat das bringt  nichts fängt er dann an über den Tisch zu streichen,0,Parts of the apartment,Parts of the apartment,26,7,nonverbal,2,PH,ScLt,ScLt,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Screen (entrance),Apartment,Light in the hallway \(L_H\),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt mehrmals den Bildschirm und schaut immer zwischen Licht oben und Bildschirm,0,Parts of the apartment,Light in the hallway \(L_H\),27,1,nonverbal,1,ES,ScE,LH,Ap,LH,None,Wisch,neutral,unobserved,unobserved,FALSE
Screen (kitchen on worktop),Apartment,Screen (kitchen on worktop),gesture,neutral,unobserved,unobserved,unobserved,---,---,VP winkt vor dem Bildschirm auf der Arbeitsfläche,0,Parts of the apartment,Parts of the apartment,27,2,nonverbal,1,ES,ScK,ScK,Ap,Ap,None,Winkt,neutral,unobserved,unobserved,TRUE
Screen (living room table),Apartment,Screen (living room table),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt den Bildschirm (Wohnzimmertisch),0,Parts of the apartment,Parts of the apartment,27,3,nonverbal,1,ES,ScLt,ScLt,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Robot,Robot,Robot,gesture,neutral,unobserved,unobserved,unobserved,---,---,VP winkt dem Roboter zu,0,Robot,Robot,27,4,nonverbal,1,ES,R,R,R,R,None,Winkt,neutral,unobserved,unobserved,TRUE
Screen (kitchen on worktop),Apartment,Unspecific,gesture,neutral,unobserved,unobserved,unobserved,---,---,VP winkt mehrmals vor dem Bildschirm auf der Arbeitsfläche,0,Parts of the apartment,Unspecific,27,5,nonverbal,1,ES,ScK,U,Ap,U,None,Winkt,neutral,unobserved,unobserved,FALSE
Unspecific,Robot,Screen (living room wall),gesture,neutral,unobserved,unobserved,unobserved,---,---,VP wikt unspezifisch in den Raum und schaut auf den Bildschirm,0,Unspecific,Parts of the apartment,27,6,nonverbal,1,ES,U,ScLwa,U,Ap,None,None,neutral,unobserved,unobserved,FALSE
Screen (living room table),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,"VP berührt mehrmals den Bildschirm (Wohnzimmertisch), versucht die Helligkeit zu steuern",0,Parts of the apartment,Floor lamp \(L_F\),27,7,nonverbal,1,ES,ScLt,LF,Ap,LF,None,None,neutral,unobserved,unobserved,FALSE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Licht an.__,---,VP sagt: __Licht an.__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),28,1,verbal,2,PH,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Licht im Flur aus.__,---,VP sagt: __Licht im Flur aus.__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),28,2,verbal,2,PH,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),__musik an.__,---,VP sagt: __Musik an.__,0,Unspecific,Unspecific,28,3,verbal,2,PH,U,U,U,U,None,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__Gibt es ein Paket für mich?__,---,VP fragt: __Gibt es ein Paket für mich?__,0,Unspecific,Unspecific,28,4,verbal,2,PH,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Screen (living room table),Apartment,Screen (living room table),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt mehrfach kurz den Tisch,0,Parts of the apartment,Parts of the apartment,28,5,verbal,2,PH,ScLt,ScLt,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Screen (living room table),Apartment,Self,touch,neutral,unobserved,unobserved,unobserved,---,---,VP schaut auf die Aufgabenkarte und drückt gleichzeitig auf dem Tisch herum,0,Parts of the apartment,Unspecific,28,6,verbal,2,PH,ScLt,S,Ap,U,None,None,neutral,unobserved,unobserved,FALSE
Screen (living room table),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt mehrfach den Tisch im Wohnzimmer und guckt zur Stehlampe,0,Parts of the apartment,Floor lamp \(L_F\),28,7,verbal,2,PH,ScLt,LF,Ap,LF,None,None,neutral,unobserved,unobserved,FALSE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),gesture,neutral,unobserved,unobserved,unobserved,---,---,VP winkt mit der Hand nach oben zur Lampe,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),29,1,verbal,1,ES,LH,LH,LH,LH,None,Winkt,neutral,unobserved,unobserved,TRUE
Robot,Robot,Robot,speech,curious,without Name,neutral,Command (words),Roboter! Licht aus!,"VP wirkt neugierig, ob das auch funktioniert..",VP spricht zu Roboter: __Roboter! Licht aus!__,0,Robot,Robot,29,2,verbal,1,ES,R,R,R,R,Roboter,None,positive,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,baffled,with Name,neutral,Command (words),Musik hören,"VP wirkt verunsichert, ob das so funktioniert",VP schaut sich um und sagt: __Musik hören!__,0,Unspecific,Unspecific,29,3,verbal,1,ES,U,U,U,U,None,None,negative,Command,Words,TRUE
Robot,Robot,Robot,speech,neutral,without Name,neutral,Question (sentence),Roboter! Habe ich einen Paket bekommen?,---,VP fragt den Roboter: __Roboter! Habe ich einen Paket bekommen?__,0,Robot,Robot,29,4,verbal,1,ES,R,R,R,R,Roboter,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,without Name,neutral,Question (sentence),"Roboter, habe ich einen Anruf bekommen?",---,"VP fragt den Roboter: __Roboter, habe ich einen Antuf bekommen?__",0,Robot,Robot,29,5,verbal,1,ES,R,R,R,R,Roboter,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),Und wie spät ist es jetzt?,---,VP fragt den Roboter: __Und wie spät ist es jetzt?__,0,Robot,Robot,29,6,verbal,1,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,neutral,unobserved,unobserved,unobserved,---,---,"VP bewegt mit der Hand an der Lampe entlang, berührt die aber nicht",0,Floor lamp \(L_F\),Floor lamp \(L_F\),29,7,verbal,1,ES,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Licht an!__,---,VP sagt: __Licht an!__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),30,1,nonverbal,2,ES,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Licht aus!__,---,VP schaut nach oben zum Licht und sagt:__Licht aus!__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),30,2,nonverbal,2,ES,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),__Musik an!__,---,VP schaut nach oben in Richtung Kamera und sagt in den Raum: __Musik an!__,0,Unspecific,Unspecific,30,3,nonverbal,2,ES,U,U,U,U,None,None,neutral,Command,Words,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Ist ein Paket für mich angekommen?__,---,VP fragt den Roboter: __Ist ein Paket für mich angekommen?__,0,Robot,Robot,30,4,nonverbal,2,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Hat jemand angerufen?__,---,VP fragt den Roboter:__Hat jemand angerufen?__,0,Robot,Robot,30,5,nonverbal,2,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Wie spät ist es?__,---,VP fragt den Roboter: __Wie spät ist es?__,0,Robot,Robot,30,6,nonverbal,2,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,"VP berührt vorsichtig die Lampe, versucht durch die Dauer oder Wiederholung der Berührung die Helligkeit zu steuern",0,Floor lamp \(L_F\),Floor lamp \(L_F\),30,7,nonverbal,2,ES,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Unspecific,Apartment,Unspecific,touch,neutral,unobserved,unobserved,unobserved,---,---,VP schaut um die Ecke und berührt dabei die Wand im Flur,0,Unspecific,Unspecific,31,1,nonverbal,1,ES,U,U,U,U,None,None,neutral,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),touch,neutral,unobserved,unobserved,unobserved,---,---,VP schaut nach oben zu Lampe und berürt wieder die Wand,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),31,2,nonverbal,1,ES,LH,LH,LH,LH,None,None,neutral,unobserved,unobserved,TRUE
Furniture of apartment,Apartment,Furniture of apartment,touch,neutral,unobserved,unobserved,unobserved,---,---,VP schaltet den Timer am Backofen (konservativ),0,Parts of the apartment,Parts of the apartment,31,5,nonverbal,1,ES,F,F,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,joyful,unobserved,unobserved,unobserved,---,---,VP klatscht mit den Händen vor der Lampe,0,Floor lamp \(L_F\),Floor lamp \(L_F\),31,7,nonverbal,1,ES,LF,LF,LF,LF,None,Klatscht,positive,unobserved,unobserved,TRUE
Robot,Robot,Robot,speech,joyful,without Name,polite,Question (sentence),"__Kannst du mir helfen, Roboter?__ Die Tonlage ist höflich",VP lacht freudig-verunsichert,"VP spricht den Roboter an: __Kannst du mir helfen, Roboter?__ und lacht verunsichert",0,Robot,Robot,32,1,verbal,2,ES,R,R,R,R,Du,None,positive,Question,Sentence,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,joyful,without Name,neutral,Command (words),"__Flur-Licht, aus!__",VP lacht,"VP schaut nach oben zur Lampe im Flur und sagt: __Flur-Licht, aus!__ und lacht dabei",0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),32,2,verbal,2,ES,LH,LH,LH,LH,Licht,None,positive,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,curious,with Name,neutral,Question (words),__Musik?!__,---,VP sagt: __Musik?!__,1217,Unspecific,Unspecific,32,3,verbal,2,ES,U,U,U,U,None,None,positive,Question,Words,TRUE
