Addressee final,Wizard addressee,Focus of attention,Method,"Expression (facial, gestural, verbal)",Speech form of address,Speech politeness,Speech type of sentence,Speech specific,Expression specific,Method specific,Time_adapted,Addressee final (reduced),Focus of attention (reduced),Vp_num,Wizard task,Condition,Order,Annotator,Addressee final Code,Focus of attention Code,Addressee final (reduced) Code,Focus of attention (reduced) Code,Speech specific (reduced),Method specific (reduced),Expression (reduced),Speech type of sentence (reduced),Speech phrasing,Addressee equals focus
Unspecific,Apartment,Unspecific,speech,baffled,with Name,neutral,Question (words),__Handy?!__,"VP fraft und verzieht das Gesicht so, als ob sie nicht sicher wäre was sie da tut",VP sagt: __Handy?!__,1153,Unspecific,Unspecific,32,5,verbal,2,ES,U,U,U,U,None,None,negative,Question,Words,TRUE
Unspecific,Robot,Unspecific,speech,curious,with Name,neutral,Question (words),__Uhrzeit?!__,"VP scheint Spaß zu haben, neugierig-freudig",VP fragt: __Uhrzeit?!__,1209,Unspecific,Unspecific,32,6,verbal,2,ES,U,U,U,U,None,None,positive,Question,Words,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,neutral,unobserved,unobserved,unobserved,---,---,"VP bewegt ihre Hand an der Lampe entlang, ohne die zu berühren",0,Floor lamp \(L_F\),Floor lamp \(L_F\),32,7,verbal,2,ES,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,joyful,with Name,neutral,Command (words),__Licht einschalten!__,VP lächelt,VP schaut nach oben zur Lampe und sagt: __Licht einschalten!__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),34,1,nonverbal,2,ES,LH,LH,LH,LH,Licht,None,positive,Command,Words,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Licht im Flur ausschalten!__,---,VP schaut nach oben zur Lampeim Flur und sagt: __Licht im Flur ausschalten!__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),34,2,nonverbal,2,ES,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Loudspeaker (by the fridge),Apartment,Loudspeaker (by the fridge),speech,neutral,unobserved,unobserved,unobserved,---,---,VP sagt in den Raum: __Musik einschalten!__,0,Parts of the apartment,Parts of the apartment,34,3,nonverbal,2,ES,Lo,Lo,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Screen (living room table),Apartment,Screen (living room table),speech,neutral,with Name,neutral,Question (sentence),__Ist ein Paket für mich angekommen?__,---,VP fragt: __ist ein Paket für mich angekommen?__ und schaut auf den Wohnzimmertisch,0,Parts of the apartment,Parts of the apartment,34,4,nonverbal,2,ES,ScLt,ScLt,Ap,Ap,None,None,neutral,Question,Sentence,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__Hat jemand für mich angerufen?__,---,VP fragt in den Raum: __Hat jemand für mich angerufen?__,0,Unspecific,Unspecific,34,5,nonverbal,2,PH,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__Wie spät ist es?__,---,VP guckt auf die Karte und fragt: __Wie spät ist es?__,454,Unspecific,Unspecific,34,6,nonverbal,2,ES,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,neutral,unobserved,unobserved,unobserved,---,---,"VP bewegt mehrmals die Hand entlang der Lampe, berührt sie aber nicht",0,Floor lamp \(L_F\),Floor lamp \(L_F\),34,7,nonverbal,2,ES,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Screen (entrance),Apartment,Screen (entrance),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt den Bildschirm (Appartmenteingang),0,Parts of the apartment,Parts of the apartment,35,1,nonverbal,1,ES,ScE,ScE,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Sliding door (between hallway and kitchen),Apartment,Light in the hallway \(L_H\),touch,neutral,unobserved,unobserved,unobserved,---,---,VP macht die Schiebtür zu,0,Parts of the apartment,Light in the hallway \(L_H\),35,2,nonverbal,1,ES,D,LH,Ap,LH,None,None,neutral,unobserved,unobserved,FALSE
Unspecific,Apartment,Loudspeaker (by the fridge),speech,neutral,with Name,neutral,Command (words),Musik!,---,VP schaut weiße Lautsprecherbox auf dem Küchenschrank an und sagt: __Musik!__,0,Unspecific,Parts of the apartment,35,3,nonverbal,1,ES,U,Lo,U,Ap,None,None,neutral,Command,Words,FALSE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),Ist heute ein Paket für mich angekommen?,---,VP fragt den Roboter: __Ist heute ein Paket für mich angekommen?__,0,Robot,Robot,35,4,nonverbal,1,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),Hat heute jemand angerufen?,---,VP fragt den Roboter: __Hat heute jemand angerufen?__,0,Robot,Robot,35,5,nonverbal,1,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Screen (kitchen on worktop),Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Question (sentence),Wie spät ist es jetzt?,---,VP schaut auf den Bildschirm und fragt: __Wie spät ist es jetzt?__,0,Parts of the apartment,Parts of the apartment,35,6,nonverbal,1,ES,ScK,ScK,Ap,Ap,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,neutral,unobserved,unobserved,unobserved,---,---,"VP macht Wischbewegungen über die Lampe, berührt die aber nicht",0,Floor lamp \(L_F\),Floor lamp \(L_F\),35,7,nonverbal,1,ES,LF,LF,LF,LF,None,Wisch,neutral,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Flur an.__,---,VP sagt: __Flur an.__,427,Light in the hallway \(L_H\),Light in the hallway \(L_H\),36,1,verbal,2,PH,LH,LH,LH,LH,None,None,neutral,Command,Words,TRUE
Self,Apartment,Self,speech,neutral,with Name,neutral,Command (words),__Flurlicht aus.__,---,VP sagt: __Flurlicht aus.__,0,Unspecific,Unspecific,36,2,verbal,2,PH,S,S,U,U,None,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),__Musik an.__,---,VP guckt in den Raum und sagt: __Musik an.__,0,Unspecific,Unspecific,36,3,verbal,2,PH,U,U,U,U,None,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__Ist heute was für mich angekommen?__,---,VP fragt: __Ist heute etwas für mich angekommen?__,0,Unspecific,Unspecific,36,4,verbal,2,PH,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__Hat mich heute schon jemand angerufen?__,---,VP fragt: __Hat mich heute schon jemand angerufen?__,0,Unspecific,Unspecific,36,5,verbal,2,PH,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Unspecific,Apartment,Self,speech,neutral,with Name,neutral,Question (sentence),__Wie viel Uhr haben wir jetzt?__,---,VP fragt: __Wie viel Uhr haben wir jetzt?__,0,Unspecific,Unspecific,36,6,verbal,2,PH,U,S,U,U,None,None,neutral,Question,Sentence,FALSE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,baffled,unobserved,unobserved,unobserved,---,"VP sieht ratlos aus, weiß nicht, dass er eigentlich schon fertig ist",VP versucht verschiedene Gesten seitlich und oberhalb der Lampe,0,Floor lamp \(L_F\),Floor lamp \(L_F\),36,7,verbal,2,PH,LF,LF,LF,LF,None,None,negative,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Licht an!__,---,"VP geht in Flur, schaut nach oben zur Lampe und sagt: __Licht an!__",0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),37,1,verbal,1,ES,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Licht im Flur aus!__,---,VP sagt: __Licht im Flur aus!__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),37,2,verbal,1,ES,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Screen (living room wall),speech,neutral,with Name,neutral,Command (words),__Musik an!__,---,VP schaut den Bildschirm (Wohnzimmerwand) an und sagt: __Musik an!__,0,Unspecific,Parts of the apartment,37,3,verbal,1,ES,U,ScLwa,U,Ap,None,None,neutral,Command,Words,FALSE
Unspecific,Apartment,Screen (living room wall),speech,neutral,with Name,neutral,Question (sentence),__Habe ich Post bekommen?__,---,VP schaut wieder auf den Bildschirm (Wohnzimmerwand) und fragt: __Habe ich Post bekommen?__,1676,Unspecific,Parts of the apartment,37,4,verbal,1,ES,U,ScLwa,U,Ap,None,None,neutral,Question,Sentence,FALSE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__Hat jemand für mich angerufen?__,---,VP schaut in den Raum und fragt: __Hat jemand für mich angerufen?__,0,Unspecific,Unspecific,37,5,verbal,1,ES,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__Wie spät ist es?__,---,VP fragt: __Wie spät ist es?__,0,Unspecific,Unspecific,37,6,verbal,1,ES,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,"Beim ersten Versuch die Lampe zu Berühren stößt die VP die Lampe fast um, dann berürt VP die Lampe mehrmals an verschiedenen Stellen und versucht die Steuerung zu verstehen, es zeigt sich aber keine Regelmäßigkeit",0,Floor lamp \(L_F\),Floor lamp \(L_F\),37,7,verbal,1,ES,LF,LF,LF,LF,None,Zeigt,neutral,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,without Name,neutral,Command (words),"__Flur, Licht!__",---,"VP schaut nach oben und sagt: __Flur, Licht!__",0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),38,1,nonverbal,1,ES,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Apartment as a whole,Apartment,Light in the hallway \(L_H\),speech,neutral,without Name,neutral,Command (words),"__Flur, Licht! (Pause) Aus!__",---,"VP steht in der Küche, schaut nach oben zur Flur-Lampe und sagt: __ Flur, Licht! (Pause) Aus!__",0,Parts of the apartment,Light in the hallway \(L_H\),38,2,nonverbal,1,ES,A,LH,Ap,LH,Licht,None,neutral,Command,Words,FALSE
Apartment as a whole,Apartment,Unspecific,speech,neutral,without Name,neutral,Command (words),"__Musik!... Küche, Musik!__",---,"VP schaut sich suchend in der Küche um, sagt in den Raum: __Musik!... Küche, Musik!__",0,Parts of the apartment,Unspecific,38,3,nonverbal,1,ES,A,U,Ap,U,None,None,neutral,Command,Words,FALSE
Unspecific,Apartment,Unspecific,speech,neutral,unobserved,unobserved,unobserved,---,---,VP bewegt sich gerade in Richtung Küche und spricht in den Raum: __Paket!__,0,Unspecific,Unspecific,38,4,nonverbal,1,ES,U,U,U,U,None,None,neutral,unobserved,unobserved,TRUE
Unspecific,Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Question (sentence),__Wie spät ist es?__,---,VP schaut auf das Bildschirm und fragt: __Wie spät ist es?__,0,Unspecific,Parts of the apartment,38,6,nonverbal,1,ES,U,ScK,U,Ap,None,None,neutral,Question,Sentence,FALSE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,neutral,unobserved,unobserved,unobserved,---,---,"VP bewegt mehrmals mit der Hand an der Lampe entlang, versucht die Helligkeit zu steuern",0,Floor lamp \(L_F\),Floor lamp \(L_F\),38,7,nonverbal,1,ES,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Screen (entrance),Apartment,Screen (entrance),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt den Bildschirm (Appartmenteingang),0,Parts of the apartment,Parts of the apartment,39,1,verbal,2,ES,ScE,ScE,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),__Licht aus!__,---,VP sagt: __Licht aus!__,0,Unspecific,Unspecific,39,2,verbal,2,ES,U,U,U,U,Licht,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),__Musik an!__,---,VP sagt in den Raum: __Musik an!__,0,Unspecific,Unspecific,39,3,verbal,2,ES,U,U,U,U,None,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__Ist ein Paket für mich angekommen?__,---,VP fragt wieder in den Raum: __Ist ein Paket für mich angekommen?__,0,Unspecific,Unspecific,39,4,verbal,2,ES,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__Hat jemand für mich angerufen?__,---,VP fragt in den Raum: __Hat jemand für mich angerufen?__,0,Unspecific,Unspecific,39,5,verbal,2,ES,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__Wie spät ist es?__,---,VP fragt in den Raum:__ Wie spät ist es?__,0,Unspecific,Unspecific,39,6,verbal,2,ES,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,"VP berührt die Lampe oben nochmal, das Licht geht aus",0,Floor lamp \(L_F\),Floor lamp \(L_F\),39,7,verbal,2,ES,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Licht im Flur an.__,---,VP guckt zum Licht im Flur und sagt: __ Licht an.__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),41,1,nonverbal,2,PH,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),Licht im Flur aus,---,VP sagt: __Licht im Flur aus.__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),41,2,nonverbal,2,PH,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),__Muisk an.__,---,VP sagt: __Musik an.__,0,Unspecific,Unspecific,41,3,nonverbal,2,PH,U,U,U,U,None,None,neutral,Command,Words,TRUE
Screen (kitchen on worktop),Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__Ist ein Paket angekommen?__,---,VP fragt: __Ist ein Paket angekommen?__,0,Parts of the apartment,Unspecific,41,4,nonverbal,2,PH,ScK,U,Ap,U,None,None,neutral,Question,Sentence,FALSE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (words),__Verpasste Anrufe?__,---,VP sagt: Verpasste Anrufe,0,Unspecific,Unspecific,41,5,nonverbal,2,PH,U,U,U,U,None,None,neutral,Question,Words,TRUE
Screen (kitchen on worktop),Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__Wie spät ist es momentan?__,---,VP fragt: __Wie spät ist es momentan?__,0,Parts of the apartment,Unspecific,41,6,nonverbal,2,PH,ScK,U,Ap,U,None,None,neutral,Question,Sentence,FALSE
Screen (entrance),Apartment,Screen (entrance),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt den Bildschirm im Apartmenteingang,0,Parts of the apartment,Parts of the apartment,43,1,nonverbal,1,ES,ScE,ScE,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Sliding door (between hallway and kitchen),Apartment,Light in the hallway \(L_H\),touch,neutral,unobserved,unobserved,unobserved,---,---,VP schießt die Schiebetür,0,Parts of the apartment,Light in the hallway \(L_H\),43,2,nonverbal,1,ES,D,LH,Ap,LH,None,None,neutral,unobserved,unobserved,FALSE
Screen (living room table),Apartment,Screen (living room table),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt den Wohnzimmertisch und klopft leicht drauf,0,Parts of the apartment,Parts of the apartment,43,3,nonverbal,1,ES,ScLt,ScLt,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Robot,Robot,Robot,speech,neutral,with Name,polite,Question (sentence),Ist das Paket da?,---,VP fragt den Roboter: __Ist das Paket da?__,0,Robot,Robot,43,4,nonverbal,1,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),Hat mich jemand angerufen?,---,VP fragt den Roboter: __Hat mich jemand angerufen?__,0,Robot,Robot,43,5,nonverbal,1,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),Wie spät ist es?,---,VP fragt wieder den Roboter: __Wie spät ist es?__,0,Robot,Robot,43,6,nonverbal,1,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,"VP berührt die Stehlampe oben, tippt mehrmals drauf, versucht die Helligkeit zu steuern",0,Floor lamp \(L_F\),Floor lamp \(L_F\),43,7,nonverbal,1,ES,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__ja.. Licht an!__,---,"VP geht zum Flur, schaut nach oben zur Lampe und sagt: __ja.. Licht an!__",0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),44,1,nonverbal,2,ES,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),gesture,neutral,unobserved,unobserved,unobserved,---,---,VP schnippt mit den Fingern,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),44,2,nonverbal,2,ES,LH,LH,LH,LH,None,None,neutral,unobserved,unobserved,TRUE
Loudspeaker (by the fridge),Apartment,Loudspeaker (by the fridge),speech,neutral,unobserved,unobserved,unobserved,---,---,"VP schaut nach oben zur Musikbox auf dem Kühlschrank und sagt: __ja, Musik an!__",0,Parts of the apartment,Parts of the apartment,44,3,nonverbal,2,ES,Lo,Lo,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Screen (kitchen on worktop),Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Question (sentence),__Ist eigentlich mein Paket heute angekommen?__,---,VP schut auf den Bildschirm auf der Arbeitsfläche und fragt: __Ist eigentlich mein Paket heute angekommen?__,0,Parts of the apartment,Parts of the apartment,44,4,nonverbal,2,ES,ScK,ScK,Ap,Ap,None,None,neutral,Question,Sentence,TRUE
Unspecific,Apartment,Self,speech,neutral,with Name,neutral,Command (sentence),__ja... check mal meine Nachrichten hier!__,---,"__VP schaut noch auf die Karte sagt unspezifisch in den Raum: ja, check mal meine Nachrichten ghier!__",0,Unspecific,Unspecific,44,5,nonverbal,2,ES,U,S,U,U,None,None,neutral,Command,Sentence,FALSE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__ja... Wie spät ist es eigentlich?__,---,VP spricht in den Raum: __ ja... Wie spät ist es eigentlich?__ und schaut wieder auf den Bildschirm auf der Arbeitsfläche,0,Unspecific,Unspecific,44,6,nonverbal,2,ES,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,curious,unobserved,unobserved,unobserved,---,"VP scheint einen Spaß zu machen, ist neugierig was passiert","VP macht eine Drehbewegung mit der Hand vor der Lampe, als ob er an einem Knopf drehen würde, lächelt und schaut sofort wieder auf die Karte",270,Floor lamp \(L_F\),Floor lamp \(L_F\),44,7,nonverbal,2,ES,LF,LF,LF,LF,None,None,positive,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),Licht an!,---,VP schaut nach oben zum Licht und sagt: __Licht an!__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),45,1,nonverbal,1,ES,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),Licht aus!,---,VP schaut nach oben zum Licht und sagt: __Licht aus!__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),45,2,nonverbal,1,ES,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),Musik an!,---,VP schaut nach oben und spricht in den Raum: __Musik an!__,0,Unspecific,Unspecific,45,3,nonverbal,1,ES,U,U,U,U,None,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),Paket?!,---,VP spricht in den raum: __Paket?!__,0,Unspecific,Unspecific,45,4,nonverbal,1,ES,U,U,U,U,None,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),Anrufe!,---,VP spricht in den Raum: __Anrufe!__,0,Unspecific,Unspecific,45,5,nonverbal,1,ES,U,U,U,U,None,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Question (sentence),Wieviel Uhr ist es?,---,VP schaut auf den Bildschirm und ftagt: __Wieviel Uhr ist es?__,0,Unspecific,Parts of the apartment,45,6,nonverbal,1,ES,U,ScK,U,Ap,None,None,neutral,Question,Sentence,FALSE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,neutral,unobserved,unobserved,unobserved,---,---,VP klatscht in die Hände vor der Stehlampe,0,Floor lamp \(L_F\),Floor lamp \(L_F\),45,7,nonverbal,1,ES,LF,LF,LF,LF,None,Klatscht,neutral,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),__Licht an.__,---,VP schaut hoch und sagt dann: __Licht an.__,516,Light in the hallway \(L_H\),Unspecific,46,1,verbal,2,PH,LH,U,LH,U,Licht,None,neutral,Command,Words,FALSE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Licht Flur aus.__,---,VP sagt: __Licht Flur aus.__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),46,2,verbal,2,PH,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Self,Apartment,Self,speech,neutral,with Name,neutral,Command (words),__Muisk an.__,---,VP sagt:__Musik an.__,0,Unspecific,Unspecific,46,3,verbal,2,PH,S,S,U,U,None,None,neutral,Command,Words,TRUE
Self,Apartment,Self,speech,neutral,with Name,neutral,Question (sentence),__Gibt es Pakete?__,---,VP fragt: __Gibt es Pakete?__,0,Unspecific,Unspecific,46,4,verbal,2,PH,S,S,U,U,None,None,neutral,Question,Sentence,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__Gibt es vergangene Anrufe?__,---,VP fragt: __Gibt es vergangene Anrufe?__,0,Unspecific,Unspecific,46,5,verbal,2,PH,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Self,Apartment,Self,speech,neutral,unobserved,unobserved,unobserved,---,---,VP fragt: __Wie spät ist es jetzt?__,0,Unspecific,Unspecific,46,6,verbal,2,PH,S,S,U,U,None,None,neutral,unobserved,unobserved,TRUE
